Month,Field Production of Crude Oil (Thousands of Barrels per Day),,,,,,
"Mar 2022,11",655,,,,,,
"Feb 2022,11",306,,,,,,
"Jan 2022,11",369,,,,,,
"Dec 2021,11",604,,,,,,
"Nov 2021,11",769,,,,,,
"Oct 2021,11",526,,,,,,
"Sep 2021,10",851,,,,,,
"Aug 2021,11",206,,,,,,
"Jul 2021,11",330,,,,,,
"Jun 2021,11",288,,,,,,
"May 2021,11",334,,,,,,
"Apr 2021,11",230,,,,,,
"Mar 2021,11",160,,,,,,
"Feb 2021,97",73,,,,,,
"Jan 2021,11",56,,,,,,
"Dec 2020,11",84,,,,,,
"Nov 2020,11",121,,,,,,
"Oct 2020,10",413,,,,,,
"Sep 2020,10",868,,,,,,
"Aug 2020,10",558,,,,,,
"Jul 2020,10",956,,,,,,
"Jun 2020,10",420,,,,,,
"May 2020,97",11,,,,,,
"Apr 2020,11",911,,,,,,
"Mar 2020,12",816,,,,,,
"Feb 2020,12",826,,,,,,
"Jan 2020,12",785,,,,,,
"Dec 2019,12",910,,,,,,
"Nov 2019,12",966,,,,,,
"Oct 2019,12",771,,,,,,
"Sep 2019,12",572,,,,,,
"Aug 2019,12",475,,,,,,
"Jul 2019,11",896,,,,,,
"Jun 2019,12",179,,,,,,
"May 2019,12",141,,,,,,
"Apr 2019,12",125,,,,,,
"Mar 2019,11",899,,,,,,
"Feb 2019,11",653,,,,,,
"Jan 2019,11",848,,,,,,
"Dec 2018,11",924,,,,,,
"Nov 2018,11",868,,,,,,
"Oct 2018,11",488,,,,,,
"Sep 2018,11",422,,,,,,
"Aug 2018,11",373,,,,,,
"Jul 2018,10",888,,,,,,
"Jun 2018,10",628,,,,,,
"May 2018,10",424,,,,,,
"Apr 2018,10",493,,,,,,
"Mar 2018,10",461,,,,,,
"Feb 2018,10",276,,,,,,
"Jan 2018,99",96,,,,,,
"Dec 2017,99",79,,,,,,
"Nov 2017,10",77,,,,,,
"Oct 2017,96",59,,,,,,
"Sep 2017,95",16,,,,,,
"Aug 2017,92",45,,,,,,
"Jul 2017,92",46,,,,,,
"Jun 2017,91",10,,,,,,
"May 2017,91",84,,,,,,
"Apr 2017,91",3,,,,,,
"Mar 2017,91",68,,,,,,
"Feb 2017,91",9,,,,,,
"Jan 2017,88",73,,,,,,
"Dec 2016,88",14,,,,,,
"Nov 2016,89",1,,,,,,
"Oct 2016,88",2,,,,,,
"Sep 2016,85",42,,,,,,
"Aug 2016,86",88,,,,,,
"Jul 2016,86",60,,,,,,
"Jun 2016,86",72,,,,,,
"May 2016,88",32,,,,,,
"Apr 2016,88",71,,,,,,
"Mar 2016,90",88,,,,,,
"Feb 2016,90",63,,,,,,
"Jan 2016,92",1,,,,,,
"Dec 2015,92",75,,,,,,
"Nov 2015,93",32,,,,,,
"Oct 2015,94",0,,,,,,
"Sep 2015,94",80,,,,,,
"Aug 2015,94",9,,,,,,
"Jul 2015,94",46,,,,,,
"Jun 2015,93",58,,,,,,
"May 2015,94",74,,,,,,
"Apr 2015,96",58,,,,,,
"Mar 2015,95",82,,,,,,
"Feb 2015,95",4,,,,,,
"Jan 2015,93",82,,,,,,
"Dec 2014,95",64,,,,,,
"Nov 2014,93",26,,,,,,
"Oct 2014,92",64,,,,,,
"Sep 2014,90",86,,,,,,
"Aug 2014,89",29,,,,,,
"Jul 2014,88",43,,,,,,
"Jun 2014,87",43,,,,,,
"May 2014,86",45,,,,,,
"Apr 2014,85",27,,,,,,
"Mar 2014,82",97,,,,,,
"Feb 2014,81",57,,,,,,
"Jan 2014,80",78,,,,,,
"Dec 2013,79",34,,,,,,
"Nov 2013,79",20,,,,,,
"Oct 2013,77",61,,,,,,
"Sep 2013,78",39,,,,,,
"Aug 2013,75",36,,,,,,
"Jul 2013,75",24,,,,,,
"Jun 2013,72",79,,,,,,
"May 2013,73",27,,,,,,
"Apr 2013,73",75,,,,,,
"Mar 2013,72",15,,,,,,
"Feb 2013,71",56,,,,,,
"Jan 2013,70",84,,,,,,
"Dec 2012,71",5,,,,,,
"Nov 2012,70",81,,,,,,
"Oct 2012,69",69,,,,,,
"Sep 2012,65",97,,,,,,
"Aug 2012,63",50,,,,,,
"Jul 2012,64",31,,,,,,
"Jun 2012,62",75,,,,,,
"May 2012,63",69,,,,,,
"Apr 2012,63",20,,,,,,
"Mar 2012,63",26,,,,,,
"Feb 2012,62",68,,,,,,
"Jan 2012,61",75,,,,,,
"Dec 2011,61",12,,,,,,
"Nov 2011,60",39,,,,,,
"Oct 2011,59",2,,,,,,
"Sep 2011,56",14,,,,,,
"Aug 2011,56",65,,,,,,
"Jul 2011,54",40,,,,,,
"Jun 2011,55",89,,,,,,
"May 2011,56",25,,,,,,
"Apr 2011,55",62,,,,,,
"Mar 2011,56",18,,,,,,
"Feb 2011,54",6,,,,,,
"Jan 2011,54",97,,,,,,
"Dec 2010,56",7,,,,,,
"Nov 2010,55",76,,,,,,
"Oct 2010,56",31,,,,,,
"Sep 2010,56",16,,,,,,
"Aug 2010,54",47,,,,,,
"Jul 2010,52",98,,,,,,
"Jun 2010,53",80,,,,,,
"May 2010,54",1,,,,,,
"Apr 2010,53",92,,,,,,
"Mar 2010,55",15,,,,,,
"Feb 2010,55",53,,,,,,
"Jan 2010,54",4,,,,,,
"Dec 2009,54",52,,,,,,
"Nov 2009,53",95,,,,,,
"Oct 2009,55",24,,,,,,
"Sep 2009,55",59,,,,,,
"Aug 2009,54",18,,,,,,
"Jul 2009,53",98,,,,,,
"Jun 2009,52",69,,,,,,
"May 2009,53",77,,,,,,
"Apr 2009,52",78,,,,,,
"Mar 2009,52",19,,,,,,
"Feb 2009,52",39,,,,,,
"Jan 2009,51",44,,,,,,
"Dec 2008,51",3,,,,,,
"Nov 2008,50",78,,,,,,
"Oct 2008,47",38,,,,,,
"Sep 2008,39",74,,,,,,
"Aug 2008,50",3,,,,,,
"Jul 2008,51",77,,,,,,
"Jun 2008,51",38,,,,,,
"May 2008,51",43,,,,,,
"Apr 2008,51",80,,,,,,
"Mar 2008,51",89,,,,,,
"Feb 2008,51",48,,,,,,
"Jan 2008,51",15,,,,,,
"Dec 2007,51",11,,,,,,
"Nov 2007,50",34,,,,,,
"Oct 2007,50",22,,,,,,
"Sep 2007,49",2,,,,,,
"Aug 2007,49",70,,,,,,
"Jul 2007,50",38,,,,,,
"Jun 2007,50",75,,,,,,
"May 2007,52",11,,,,,,
"Apr 2007,51",80,,,,,,
"Mar 2007,51",19,,,,,,
"Feb 2007,51",18,,,,,,
"Jan 2007,51",8,,,,,,
"Dec 2006,51",86,,,,,,
"Nov 2006,50",64,,,,,,
"Oct 2006,51",8,,,,,,
"Sep 2006,50",31,,,,,,
"Aug 2006,50",40,,,,,,
"Jul 2006,50",94,,,,,,
"Jun 2006,51",63,,,,,,
"May 2006,51",51,,,,,,
"Apr 2006,50",82,,,,,,
"Mar 2006,50",27,,,,,,
"Feb 2006,50",32,,,,,,
"Jan 2006,50",48,,,,,,
"Dec 2005,49",88,,,,,,
"Nov 2005,48",57,,,,,,
"Oct 2005,45",55,,,,,,
"Sep 2005,42",14,,,,,,
"Aug 2005,51",98,,,,,,
"Jul 2005,52",53,,,,,,
"Jun 2005,54",42,,,,,,
"May 2005,55",96,,,,,,
"Apr 2005,55",63,,,,,,
"Mar 2005,56",1,,,,,,
"Feb 2005,55",1,,,,,,
"Jan 2005,54",46,,,,,,
"Dec 2004,55",10,,,,,,
"Nov 2004,54",23,,,,,,
"Oct 2004,51",70,,,,,,
"Sep 2004,50",81,,,,,,
"Aug 2004,53",25,,,,,,
"Jul 2004,54",84,,,,,,
"Jun 2004,54",7,,,,,,
"May 2004,55",56,,,,,,
"Apr 2004,55",60,,,,,,
"Mar 2004,56",17,,,,,,
"Feb 2004,55",72,,,,,,
"Jan 2004,55",85,,,,,,
"Dec 2003,55",71,,,,,,
"Nov 2003,55",47,,,,,,
"Oct 2003,56",14,,,,,,
"Sep 2003,56",9,,,,,,
"Aug 2003,55",74,,,,,,
"Jul 2003,54",98,,,,,,
"Jun 2003,56",59,,,,,,
"May 2003,56",63,,,,,,
"Apr 2003,57",26,,,,,,
"Mar 2003,58",3,,,,,,
"Feb 2003,57",83,,,,,,
"Jan 2003,57",55,,,,,,
"Dec 2002,57",22,,,,,,
"Nov 2002,56",24,,,,,,
"Oct 2002,53",58,,,,,,
"Sep 2002,54",11,,,,,,
"Aug 2002,57",96,,,,,,
"Jul 2002,57",51,,,,,,
"Jun 2002,58",84,,,,,,
"May 2002,59",5,,,,,,
"Apr 2002,58",44,,,,,,
"Mar 2002,58",86,,,,,,
"Feb 2002,58",81,,,,,,
"Jan 2002,58",73,,,,,,
"Dec 2001,58",87,,,,,,
"Nov 2001,58",81,,,,,,
"Oct 2001,57",46,,,,,,
"Sep 2001,57",9,,,,,,
"Aug 2001,57",25,,,,,,
"Jul 2001,57",49,,,,,,
"Jun 2001,57",66,,,,,,
"May 2001,58",29,,,,,,
"Apr 2001,58",63,,,,,,
"Mar 2001,58",80,,,,,,
"Feb 2001,57",80,,,,,,
"Jan 2001,57",99,,,,,,
"Dec 2000,58",55,,,,,,
"Nov 2000,58",33,,,,,,
"Oct 2000,58",9,,,,,,
"Sep 2000,57",58,,,,,,
"Aug 2000,57",89,,,,,,
"Jul 2000,57",39,,,,,,
"Jun 2000,58",23,,,,,,
"May 2000,58",47,,,,,,
"Apr 2000,58",54,,,,,,
"Mar 2000,59",18,,,,,,
"Feb 2000,58",52,,,,,,
"Jan 2000,57",84,,,,,,
"Dec 1999,59",59,,,,,,
"Nov 1999,59",60,,,,,,
"Oct 1999,59",47,,,,,,
"Sep 1999,58",4,,,,,,
"Aug 1999,57",80,,,,,,
"Jul 1999,57",98,,,,,,
"Jun 1999,57",60,,,,,,
"May 1999,58",75,,,,,,
"Apr 1999,58",87,,,,,,
"Mar 1999,58",83,,,,,,
"Feb 1999,59",66,,,,,,
"Jan 1999,59",63,,,,,,
"Dec 1998,60",43,,,,,,
"Nov 1998,61",40,,,,,,
"Oct 1998,61",43,,,,,,
"Sep 1998,57",89,,,,,,
"Aug 1998,62",3,,,,,,
"Jul 1998,61",94,,,,,,
"Jun 1998,62",67,,,,,,
"May 1998,63",47,,,,,,
"Apr 1998,64",83,,,,,,
"Mar 1998,64",8,,,,,,
"Feb 1998,64",76,,,,,,
"Jan 1998,65",41,,,,,,
"Dec 1997,65",31,,,,,,
"Nov 1997,64",59,,,,,,
"Oct 1997,64",67,,,,,,
"Sep 1997,64",86,,,,,,
"Aug 1997,63",47,,,,,,
"Jul 1997,64",9,,,,,,
"Jun 1997,64",42,,,,,,
"May 1997,64",74,,,,,,
"Apr 1997,64",41,,,,,,
"Mar 1997,64",52,,,,,,
"Feb 1997,65",14,,,,,,
"Jan 1997,64",2,,,,,,
"Dec 1996,65",6,,,,,,
"Nov 1996,64",76,,,,,,
"Oct 1996,64",81,,,,,,
"Sep 1996,64",82,,,,,,
"Aug 1996,63",60,,,,,,
"Jul 1996,63",38,,,,,,
"Jun 1996,64",58,,,,,,
"May 1996,63",94,,,,,,
"Apr 1996,64",44,,,,,,
"Mar 1996,65",71,,,,,,
"Feb 1996,65",77,,,,,,
"Jan 1996,64",95,,,,,,
"Dec 1995,65",30,,,,,,
"Nov 1995,65",85,,,,,,
"Oct 1995,64",21,,,,,,
"Sep 1995,64",16,,,,,,
"Aug 1995,64",47,,,,,,
"Jul 1995,64",49,,,,,,
"Jun 1995,65",79,,,,,,
"May 1995,66",29,,,,,,
"Apr 1995,66",4,,,,,,
"Mar 1995,66",0,,,,,,
"Feb 1995,67",94,,,,,,
"Jan 1995,66",82,,,,,,
"Dec 1994,67",60,,,,,,
"Nov 1994,66",28,,,,,,
"Oct 1994,66",58,,,,,,
"Sep 1994,66",9,,,,,,
"Aug 1994,65",44,,,,,,
"Jul 1994,65",1,,,,,,
"Jun 1994,66",11,,,,,,
"May 1994,66",88,,,,,,
"Apr 1994,66",12,,,,,,
"Mar 1994,67",46,,,,,,
"Feb 1994,67",70,,,,,,
"Jan 1994,68",17,,,,,,
"Dec 1993,68",58,,,,,,
